# x  f(x)  numerical_df  exact_df  absolute_error
   0.000000000000000E+00    0.000000000000000E+00    9.993421562398412E-01    1.000000000000000E+00    6.578437601587606E-04
   6.283185307179587E-02    6.279051952931337E-02    9.953982093051658E-01    9.980267284282716E-01    2.628519123105799E-03
   1.256637061435917E-01    1.253332335643043E-01    9.875258803925470E-01    9.921147013144779E-01    4.588820921930914E-03
   1.884955592153876E-01    1.873813145857246E-01    9.757562379876796E-01    9.822872507286887E-01    6.531012741009090E-03
   2.513274122871835E-01    2.486898871648548E-01    9.601357314920956E-01    9.685831611286311E-01    8.447429636535442E-03
   3.141592653589793E-01    3.090169943749474E-01    9.407260079086046E-01    9.510565162951535E-01    1.033050838654892E-02
   3.769911184307752E-01    3.681245526846780E-01    9.176036685487310E-01    9.297764858882513E-01    1.217281733952036E-02
   4.398229715025711E-01    4.257792915650727E-01    8.908599667223334E-01    9.048270524660195E-01    1.396708574368610E-02
   5.026548245743669E-01    4.817536741017153E-01    8.606004476024888E-01    8.763066800438636E-01    1.570623244137481E-02
   5.654866776461628E-01    5.358267949789967E-01    8.269445316869022E-01    8.443279255020151E-01    1.738339381511289E-02
   6.283185307179586E-01    5.877852522924731E-01    7.900250434997670E-01    8.090169943749475E-01    1.899195087518046E-02
   6.911503837897546E-01    6.374239897486897E-01    7.499876873940510E-01    7.705132427757891E-01    2.052555538173817E-02
   7.539822368615504E-01    6.845471059286887E-01    7.069904725229706E-01    7.289686274214116E-01    2.197815489844090E-02
   8.168140899333463E-01    7.289686274214116E-01    6.612030892500664E-01    6.845471059286886E-01    2.334401667862218E-02
   8.796459430051422E-01    7.705132427757893E-01    6.128062394588497E-01    6.374239897486896E-01    2.461775028983992E-02
   9.424777960769380E-01    8.090169943749475E-01    5.619909234050283E-01    5.877852522924730E-01    2.579432888744471E-02
   1.005309649148734E+00    8.443279255020151E-01    5.089576859257606E-01    5.358267949789965E-01    2.686910905323592E-02
   1.068141502220530E+00    8.763066800438637E-01    4.539158249807880E-01    4.817536741017152E-01    2.783784912092713E-02
   1.130973355292326E+00    9.048270524660196E-01    3.970825656490347E-01    4.257792915650727E-01    2.869672591603800E-02
   1.193805208364122E+00    9.297764858882515E-01    3.386822028404319E-01    3.681245526846779E-01    2.944234984424593E-02
   1.256637061435917E+00    9.510565162951535E-01    2.789452161063980E-01    3.090169943749475E-01    3.007177826854945E-02
   1.319468914507713E+00    9.685831611286311E-01    2.181073600423409E-01    2.486898871648547E-01    3.058252712251383E-02
